[0] 相关页面：术语集 | 俗语集
[1] 请善用左侧站内搜索以及Ctrl+F页面检索功能。
[38] 疑似与祈、诺洛伊存在关联的少女，自身持有的诺洛伊怨玉被炎斋夺走。
[39] 明石大佐
[40] 神秘宇宙忍者，实力离谱强大，甚至能召唤陨石。定位似乎与奥尔特纳四天王同类。
[41] 风藏天音
[42] 陪同高圆寺博士一同加入另类迈斯。
[43] 灭忍晴树
[44] 全新灭·上弦众首领，同时也是诺洛伊党的四道封印者之一。
[45] 阿尔达克
[46] “企图侵略地球的外星人组织，首领为迪斯特邦。麾下有富曼、弗拉斯特怪人等单位，军团架构与曾和艾斯克雷尔交战的侵略军团戴拉斯特相似，但二者并无明确关联。”是来自未来、毁灭世界的时定与优乃的宿敌，激斗战士组织正是为对抗阿尔达克而成立。
[47] 阿蕾特之瞳
[48] 阿兹埃尔暴走时，为封印其邪恶魔力而打造的眼镜，由阿兹埃尔佩戴。
[49] 异魂降临
[50] 由格岑确立的技术，可将召唤而来的异界魂魄与幻魔融合，命名者为迷你泰克特鲁。召唤的魂魄必须与融合幻魔为同源相性之物，融合失败则魂魄会彻底消散；即便成功，人格与外貌也会发生剧变。另类迈斯盗用这项技术量产奥格，《超昂大战》中登场的、以爱丽丝社其他作品联动角色为外形的幻魔，几乎都是该技术的产物。另外还有将幻魔寄宿人类体内进行强化的术式，这套术式原本归奥尔特纳斯坦所有。
[51] 异世界
[52] 异世界一览
[53] 传奇世界
[54] 《超昂天使艾斯克雷尔》《超昂闪忍遥》《超昂神骑艾克希尔》的故事舞台，属于平行世界。各作品均已迎来真结局或后宫结局。基本可通过激斗传送门往返，但存在特例。早期设定是穿越次元时力量会衰减，如今设定改为在其他世界无法发挥自身原本的实力。
[55] 破球世界
[56] 以类似棒球的竞技“破球”为主流的世界。角色通过激斗传送门抵达此处后便再无返回迹象。
[57] 激斗偶像世界
[58] 曾遭受神秘机械军团无音乐团威胁的世界。既可通过激斗传送门往返，蝶矿石与SDDD产生共鸣时也会意外召唤此地人物。
[59] 鲁德拉萨姆大陆
[60] 《兰斯》系列的世界，完全独立于地球的异次元。将富曼矿石放入富曼人偶，偶尔会召唤出该世界的人物。召唤出的人物所处年代各不相同，返程方式不明，返回后记忆、物资全部重置，限制颇多。
[61] 日本（吉邦格）
[62] 《英雄*战姬》的世界，地形与地球相似但属于完全不同次元，“吉邦格”是该世界中的一国。本土激斗传送门与对方次元通道相连，可自由往返，但严禁输送会改变文明的物品与知识。在该世界中角色无法发挥完整实力。
[63] 八重坂
[64] 汉字写作“八重坂”，深山初音的故乡，也是爱丽丝社PC游戏《秘境纳库雅》的故事舞台。整体风貌与现代日本一致，但时间线比本作激斗战士所在世界更早。表面上不存在超常事物，但自古以来就栖息着妖怪。十多年前，八重坂学园多名学生离奇惨死或失踪，最后仅有一名女生归来，发生过这桩诡异事件。初音依靠激斗传送门往返八重坂与激斗战士世界，同时兼顾校园生活与激斗战士的战斗任务。
[65] 艾斯小队
[66] 艾斯·红宝石、艾斯·蓝宝石、艾斯·托帕兹、艾斯·美兹四人的合称，是《超昂大战》核心女主角团。四人分别深度关联战士、闪忍、神骑、魔女四大阵营（全员所属阵营均为战士），各阵营主线剧情中均有亮眼表现。四人就读同一所学园，关系融洽。红宝石、蓝宝石、美兹是同级生，只有托帕兹是低年级学妹。顺带一提，四人都已成年可饮酒。另外在维基等平台，该小队也被称作超艾斯小队、超昂艾斯小队、宝石小队。需要区分的是，超昂艾斯小队特指超昂祭实装的四人进阶形态：艾斯红宝石·星耀、艾斯蓝宝石·月辉、艾斯托帕兹·秘影、艾斯美兹·幻梦。不过截至2026年2月，该名称仅指代这四人，若后续超昂祭新增艾斯小队全新版本角色，词条指代范围会产生混淆。
[67] 埃尔巴哈
[68] 以斯雷特为队长的恶魔武装集团，将选择与人类共存的恶魔视作叛徒，视之为眼中钉。
[69] 奥格
[70] “无自我意识的人类克隆体内寄宿幻魔，改造为能在人类世界作乱的怪物，嘶吼声为‘奥——格！’”
[71] 大车温泉街
[72] 雫老家旅馆“汤之花馆”所在的萧条温泉街。此地自古栖息大蛇，古称“大蛇之地”。曾有一位名为汤吉的温泉挖掘工匠手艺高超，将此地发展兴盛，后因土石灾害划为危险区域，如今收归国有。汤吉死后化为幻魔，现定居于激斗战士基地锅炉房。
[73] 奥科斯之书
[74] 外观与格岑之书高度相似，由奥斯威尔以天照神之血打造的死亡笔记，是灭绝人类的道具。被写下名字的人会无条件执行任何指令，但全书仅能发动一次，因此需要提前记录全人类姓名。根据奥斯威尔测算，完整记录需要253年7个月，为此他准备了时间流速不同的异空间解决耗时问题。
[75] 奥尔特纳斯坦
[76] “击败阿尔达克后现身，向激斗战士宣战的组织，似乎与魔女敌对，详细情报不明。”是曾暗中扶持阿尔达克的幻魔势力，正式全称为“终末认知奥尔特纳斯坦”，因曾平定幻魔界而获此名号。由“黑王”奥尔特克特鲁、“白王”奥尔特西瓦托鲁二人统领。核心战力奥尔特纳四天王的特征是全部以爱丽丝社历代旧作角色为原型。
[77] 奥尔特纳四天王一览
[78] 兽头拳王猛虎颚：源自《Only You》(1996年)
[79] 翼龙剑圣茜：源自《零式》(1997年)
[80] 八爪妖蛊初音：源自《秘境纳库雅》(1997年)
[81] 死灵判官麦金利：源自《大帝国》(2011年)
[82] か行 †
[83] 怪忍
[84] 普通人、器物寄宿诺洛伊碎片后滋生的怨念、小动物异变而成的怪物。有时会作为新诺洛伊党的手下登场，野生怪忍则会被新诺洛伊党盯上，对方觊觎其体内的诺洛伊碎片。和弗拉斯特怪人一样，会作为关卡BOSS登场。
[85] 怪忍一览
[86] 鬼门缚士
[87] 体型巨大的红色怪忍，背后背负巨型纺车。
[88] 鬼门厄射
[89] 身披蓑笠、手持枪械的青色怪忍。
[90] 灵门丽士
[91] 手持符咒与羽扇的紫色怪忍。
[92] 妖门狐司
[93] 佩戴狐面、手持黑色山刀的紫色怪忍。
[94] 混沌主宰
[95] 由兰斯率领富曼等人建立的势力，登场于《兰斯》系列联动活动，主线剧情中也有出场。为寻找失踪的希尔前往城镇，在各类活动中掀起风波。奈木身兼双重间谍隶属于该组织，同时奥尔特纳斯坦也派遣指挥官福特·古兹作为其部下。
[96] 知识植入
[97] 序章中时定使用的技术，通过睡眠学习将战斗经验直接写入大脑。对身体负担极大，即便时定这般强者也会因记忆涌入产生的反馈而昏厥。第二部中战部祈也使用过该技术，最早出自《实习学生GOOD》。
[98] 觉醒点数
[99] “进行觉醒强化所需点数，可通过使用道具、纯爱剧情、D充能+、被捕获角色俘获等方式获取。”详情请查阅觉醒强化词条。
[100] 火裔
[101] 远古起便与光狩交战、守护人类的异能者群体，出处为《夜幕降临！》。本作世界中也存在拥有特殊力量的火之一族，设定上与火裔为同一存在。
[102] 鎹市
[103] 修建于闩市郊外乡间、人类与恶魔融合共存的自立防卫支援都市，市长为时藤玛雅。由恶魔与激斗战士双方各出资一半，经国防军与议会批准启动建设。NAU参与城市设计，接纳人类、恶魔、魔女、幻魔等各类族群作为市民。设立目的之一是拓展激斗战士的防卫范围，承担闩市外围防御工作。城内配备航空基地、宽敞的迎击广场、魔王信仰者会馆等设施。
[104] 佳纯
[105] 魔法新娘之一，拥有浅蓝色眼眸，是金丝雀的挚友，专属花束为“希望”。与金丝雀等人联手击败强大的灾厄魔物灾变。
[106] 如风似焰
[107] 主线7-5剧情里艾莉说出的台词，原型是《超昂闪忍遥》主题曲。
[108] 卡佩拉之岛
[109] 激斗战士名下的南国岛屿，蕴藏大量激斗矿石，同时也是猴子们的乐园。原本是卡佩拉参加商店街抽奖中奖后乘船出游，船只失事漂流抵达的无人岛。斯巴鲁在此担任教官，锁链、翔等人登岛特训，最终讨伐邪神蟹怪。
[110] 神威驾校
[111] 无限玲香担任教官的驾校，外观如同监狱，教职工性格各异，但驾校运营十分正规。伊泽奈艾尔、梅菲尔、里格尔、维加、金出、始六人曾在此参加驾照合宿培训。时定也来此处学习大型二轮摩托车驾照。
[112] 犍陀罗
[113] 大陆魔女组织，与方舟互不干涉，仅和维多利亚派保持交流；如今以派驻人员形式与激斗战士建立合作关系，致力于彻底消灭九尾狐。
[114] 闩学园
[115] 明莉、百合香等人就读的学园。
[116] 闩市
[117] 本作故事发生的地方城市，配套游乐园、海水浴场等设施，激斗战士总部基地也坐落于此。该地名最早出自《超昂天使艾斯克雷尔》。
[118] 机械帝国
[119] 曾在无音乐团出现前入侵玛迪欧恩·玛莉娜所在世界的机械人类帝国，驱使机械生物作为兵器。差木地沙绫以超昂战士身份将其击退。真夏真香的角色剧情中，出现过偶然穿越而来的章鱼型机械单位。
[120] 伪天使
[121] 奥斯威尔称其类似神骑打造的机械士兵，与堕天使不同，自身意志会被彻底封印。
[122] 角色等级
[123] “角色等级最高可强化至玩家当前等级，初始上限100级。升级需要消耗强化点数。2023年3月22日更新后，使用道具「壁间开眼」可将单个角色等级上限提升至150级。”
[124] 角色剧情
[125] “提升与角色的好感度即可解锁全新剧情，可使用道具快速提升好感度。”
[126] 九大神骑
[127] “天照麾下战力顶尖的九名神骑，包含天使长阿兹埃尔。”每位大神骑配备两名辅佐神骑，天界神骑合计27人；辅佐神骑名称均取自星辰。另外还有《超昂神骑艾克希尔》这类从异世界召唤而来的神骑、地上神骑，因此神骑整体总人数会持续增加。目前剧情明确登场成员如下：
[128] 九大神骑·辅佐一览
[129] 九大神骑
[130] 辅佐神骑
[131] 初代
[132] 天使长·第一神钥阿兹埃尔
[133] 神骑卡佩拉
[134] 神骑维加
[135] 第二圣剑米卡菲尔
[136] 神骑斯皮卡
[137] 神骑毕宿五
[138] 神骑卢克塞尔（原第二位大神骑）
[139] 第三裁刀伊泽奈艾尔
[140] 神骑角宿一
[141] 神骑轩辕十四
[142] 第四猎斧泽布利埃尔
[143] 神骑里格尔
[144] 神骑南河三（原辅佐）
[145] 第五魅琴玛丽埃尔
[146] 神骑含羞草
[147] 神骑老人星
[148] 第六法杖塞拉菲埃尔
[149] 神骑北极星
[150] 第七贤腕沙姆埃尔
[151] 第八暗刃拉布迪埃尔
[152] 神骑大角星
[153] 神骑土司空
[154] 第九护枪梅菲尔
[155] 神骑南河二（由沙姆埃尔麾下调岗）
[156] 球魂
[157] 观众为破球赛事呐喊助威的热情转化而成，是激斗BB·米娜的力量来源。
[158] 九尾狐
[159] 拥有九条尾巴的狐型幻魔，犍陀罗称其为幻魔之王，统治幻魔界的卡利塔斯之地。常年潜伏人类社会，蛊惑掌权者，掀起世间战乱。即便数次被打倒、封印于杀生石，时隔一段时间便会再度复活。
[160] 空中战舰伊甸
[161] 西内尔的专属座舰，依靠现接之力诞生，全长超千米。搭载强力主炮、副炮与防御屏障，舱内存放大量飞行幻魔。名称原型推测为《大恶司》里维米伊国家的根据地。
[162] 久世上弦众
[163] “从想破上弦众分裂而出的派系，收留身怀异能却无处容身之人、罪犯，主张不受世俗束缚践行正义。首领为白银明，成员虽同为忍者，但不具备闪忍之力，依靠ADDD完成变身。”想破由闪忍与配套后勤人员组成，久世则是完全无底线、纯粹以实力说话的派系。成员包含无闪忍天赋者、罪犯、身心存在缺陷的社会边缘人，也有与超昂体系无关的特异体质、异能持有者。但这套理念也让无处立足之人拥有了投身正义组织的渠道。和不计报酬、舍己为公的想破不同，久世可承接外部委托换取报酬，带有佣兵属性。对比贯彻纯粹理想的想破，久世是在理想与现实间折中、立足现实的正义组织。对外伪装成名为七雄企划的艺人事务所。顺带一提，久世成员和超昂战士一样使用ADDD，但斗羽大洋反感激斗系华丽战斗服，因此久世全员都不采用该类装束，游戏内分类归为忍者系。另外斗羽、白银明这类原生闪忍无需依靠ADDD变身。鬼人斗羽大洋评价二者：若想破上弦众是“驱散黑暗、守护和平的正义之刃”，久世上弦众便是“蛰伏于阴影、撕碎邪恶的野兽獠牙”。官方第471期开发日志刊登过久世与想破势力关系图可供参考。根据同期洋龙德莱贡的解说，久世上弦众成立至今未满十年（依据是创立时姬路还是小学生、月子尚在读女子学校）。第523期开发日志提及，该组织的核心设定是“一群麻烦女生组成的拟似家族”。
[164] 久世七暴
[165] “久世上弦众内部不定期举办排位战，排名前七的成员授予此称号。”通过定期内部排位战决出久世战力最强的七人。久世奉行强者至上，下位者必须服从第一名的命令，这是与想破七闪最大的区别。斗羽性格残暴，遭其余六人厌恶；全员统一排斥激斗系花俏服饰。但即便如此，第二名切裂余命身穿校服、第六名秋道姬路身披全裸披风、第七名1024立绘关键部位打码，战斗装束反倒让人觉得还不如激斗系服装得体。
[166] 久世七暴一览
[167] 第一位：鬼人斗羽大洋
[168] 第二位：血刃切裂余命
[169] 第三位：钢躯杰里米·本德
[170] 第四位：暗影奉轮小森
[171] 第五位：毒姬冬柱月子
[172] 第六位：狂徒秋道姬路
[173] 第七位：小妹1024
[174] 大弥赛亚
[175] 部署于鎹市激斗战士航空基地的超高速登陆飞艇，全长约50米。由激斗战士与方舟联合打造的巨型祝福器，方舟魔女为其灌注海量现接之力。船体特殊合金可吸收敌我各类能量并转化为推进动力，内置跃迁装置，能将超昂战士从闩市本部激斗传送门瞬间转移至大弥赛亚之上。航行能耗极高，必须搭载时定作为能量供给源才能起飞。原型推测为《大番长》河野美潮设计的巨型战舰，但体型远不及后者。
[176] 全兽偶像团
[177] 本作世界流行的偶像团体，低龄孩童也十分喜爱。成员仅佩戴猫耳，其余就是普通能唱能跳的偶像。
[178] 幻忍
[179] “依靠诺洛伊之力诞生的拟生命体，按实力分为下忍、中忍、上忍。战吼为「南加！/南加！/忍加！」”作为新诺洛伊党的杂兵参战，野生怪忍也会制造幻忍作为手下。另有诺洛伊直属战斗单位朱卡。
[180] 刻耳柏洛斯小队
[181] 久世上弦众内最好战的三人组合：血刃切裂余命、暗影奉轮小森、钢躯杰里米·本德。
[182] 极限突破
[183] “消耗资金与对应强化点数即可对角色进行极限突破，突破后角色属性成长率提升。突破点数也可使用盛放花蕾替代。”详情查阅极限突破词条。
[184] 幻之海
[185] 位于幻魔界、环绕奥尔特纳斯坦领地的海域，是孕育所有幻魔的源头，绝大多数幻魔诞生后都会回归此处。曾被西内尔持有的诺洛伊怨玉污染，化作黑色海啸，滋生海量幻魔。
[186] 幻川红叶
[187] 幻川双叶的祖母，三年前离世，祝福器「灵魂天秤」的制作者。与雪城艾莉是挚友，二人持有对方房间备用钥匙，师从同一师傅。嗜好烟酒，日常身着男装西装。
[188] 剑菱财阀
[189] 资助激斗战士的大型财阀，八子名为剑菱圭。与NAU合作，在闩塔内开设空中礼拜堂闩分店。
[190] 幻魔
[191] “奥尔特纳斯坦的构成单位，是魔女的宿敌与先祖。袭击人类的原因不明。”“人类心中模糊的幻想、渴求的思绪汇聚，流淌至世界背面，凝聚成型并诞生自我意识而成的存在。低级幻魔会袭击人类，但也存在智慧、精神境界远超人类的高阶个体。”魔女的宿敌，栖息于世界背面的传说怪物。被人类认知（现接之力）后，自身实体强度会随之提升。只要塑造自身的概念没有风化，幻魔就不会真正死亡，即便消散也会以同类形态再度诞生。本作世界中，魔物、怪物几乎都归类为幻魔。既有奥尔特纳斯坦这类大型势力麾下的幻魔，也有大量无所属的流浪幻魔。以下为除去可游玩角色、NPC之外，剧情登场的幻魔名录：
[192] 幻魔一览
[193] 克雷德
[194] “奥尔特纳斯坦的战斗单位，泥人外形幻魔，叫声为「克雷！」”存在多种配色变体，部分种类拥有减伤能力。
[195] 兽人
[196] 最常见的幻魔之一，各类场景均有登场。
[197] 淫疫兽
[198] 散播疫病的幻魔，外形如同四足黑犬，偏好袭击魔力强大之人，尤其钟爱心灵脆弱的魔女。如今毒性弱化，战斗中无需担心疫病影响。拥有同化他人重塑实体的能力，是无固定形态的无形幻魔所化的常见外形。
[199] 骸骸
[200] 淫疫兽接触闩市某处神秘祠堂后异变诞生的全新幻魔，标志性笑声被艾斯·托帕兹命名。剧情暗示该幻魔存在复数个体，或是与束缚篇的骸骸为同一存在。
[201] 法法德
[202] 以智慧之实作为媒介召唤的幻魔，会向召唤者设下试炼，通关后出借自身力量，如同行走图书馆，掌握海量知识。存在与束缚篇法法德为同一存在的可能性。
[203] 件
[204] 牛所诞下、长着人脸的幻魔，存活数日便会离世，生前能精准预言各类事件。
[205] 蘑菇人
[206] 活动《秋意渐浓，隔壁魔女夜夜笙歌》登场，是秋葵好友山田的真身，受方舟维多利亚派保护。精通高科技器械、熟知山林知识，受惊时头顶会喷出乳白色液体。
[207] 男根人
[208] 与蘑菇人同期登场的附身型幻魔，准确名称为假阳具人，立绘全程打码，观感恶劣。若心中存有相关欲望的人沾染其头顶喷出的白色液体，就会转化为男根人。
[209] 马头鬼
[210] 魔女雅美角色剧情登场的幻魔，人头马身。
[211] 小兔精
[212] 长着兔耳兔尾、仅女性外形的无害幻魔，只会引诱人类游玩，是爱丽丝社作品经典小怪。
[213] 幻魔诺洛伊
[214] 第二部第9章登场，借助上弦众的思念凝聚而成的幻魔。
[215] 陋妇妖
[216] 依靠坊间流言汇聚现接之力诞生的怪人幻魔，拥有令女性处女膜再生、处女状态下受孕分娩的特殊能力。
[217] 章鱼幻魔
[218] 巨型章鱼幻魔，源自钓鱼小游戏实体化，外形酷似海弗拉斯特。能吸收超昂战士能量使其衣物消失，登场于活动《正义、垂钓与赤裸魔女们》。
[219] 树精
[220] 正义瞳角色剧情登场的食虫植物幻魔，可吞噬魔女，利用其体内现接之力制造媚药。
[221] 邪神蟹
[222] 真夏斯巴鲁角色剧情登场的蟹型幻魔，众人在卡佩拉之岛将其讨伐。
[223] 鱼人幻魔
[224] 真夏艾斯克雷尔角色剧情登场，操控高压水流作战，可单性繁殖，精液能孕育幼鱼。
[225] 蛇五右卫门 & 蛇骨婆
[226] 夫妻幻魔，伪装成魔女芽衣子的叔父叔母，暗中吸食现接之力，登场于活动《南瓜指引的少女冒险》。
[227] 罗蕾莱
[228] 依靠歌声引诱渔夫走向毁灭的水之幻魔，传说生物，激斗偶像80·惠美角色剧情有提及。
[229] 鲨鱼幻魔
[230] 栖息于幻魔界的鲨鱼幻魔，设定喜爱白兔，疑似与因幡白兔传说有关；外形可切换鳄鱼形态，不过鳄鱼形态是否为独立鳄鱼幻魔暂存争议。
[231] 蜥蜴人
[232] 蜥蜴人形幻魔，其中一派信奉巨龙。
[233] 黑蜡巨虫
[234] 南方原生林栖息的巨型昆虫，人类的恐惧与厌恶凝聚而成的灾厄，亦被视作神明。拥有放大目睹者厌恶、恐惧情绪的能力，登场于活动《生存竞赛！情人节决战》。
[235] 赤鬼
[236] 闪忍一叶角色剧情登场的幻魔，拥有远超普通女性的巨大生殖器，智力低下。
[237] 幻魔界
[238] 幻魔的栖息之地，别称“终末认知界”。表面幻魔杂乱分布，实则外形相近的幻魔会集群生存。境内存在奥尔特纳斯坦这类类似国家的大型势力，时常爆发战争。幻魔界原生幻魔实力远强于强行现世的幻魔。
[239] 好感度
[240] “完成以下行为可提升角色好感度：「角色等级提升（达到指定次数）」「角色极限突破」「扭蛋重复抽到相同角色」「使用好感度道具」「设为首页角色（每日首次登录触发）」”
[241] 光镇祭
[242] 火裔之乡每年举办的仪式，用以安抚逝去火裔的魂魄、封印夹缝中的光狩。这场仪式在两个世界同步举办，也成为泉一行人来到超昂大战世界的契机。
[243] 茧房
[244] 人魔保障机构茧房，负责保护人魔、协助其重返社会。由锻冶师托巴尔凯恩创立，现任所长是其后人十崎羽折。孤岛设施内解析、改良托巴尔凯恩的技术，高圆寺泷太郎也曾在此合作研究。
[245] 国防军
[246] 本作中，为扩充战力，国防陆军特能战技部队的龙造寺爱、龙造寺芽衣、龙造寺结衣三人借调至激斗战士。
[247] 国防军危机管理对策室
[248] 国防军参谋本部下设全新部门，负责与激斗战士交涉、制定对抗外来侵略者的对策。
[249] 成员名单
[250] 室长 山城鹰路（陆军二佐）
[251] 室长辅佐 皆代奈月
[252] 技术顾问 冰村教授
[253] 铃森少尉
[254] 风藏天音 准尉
[255] 孤儿院
[256] 方舟运营的福利设施，收容因家庭变故失去双亲的魔女孩童，院内设有教堂。芽衣子在此被收容，出身者还有魔女小针。
[257] 格岑之书
[258] 原本封印于天界尽头神社的典籍，遭人盗走，被用来封印天界大神骑的力量。
[259] 古老幻魔
[260] 被奥尔特西瓦托鲁封印的远古幻魔。秉持“人类转化为幻魔后，新生幻魔会持续诞生，人类便不再有存在必要”的理念。
[261] 共识程序
[262] 针对启动后的奥科斯之书开发的应对程序。依靠尼尔的力量强制全人类与梅格尔签订契约，让梅格尔承担书本带来的死亡。布罗克米尔持续用神力修复承受重创的梅格尔，这套计划极端鲁莽。最终激斗战士全员合力支撑濒临崩坏的梅格尔，引导其完成超昂变身。
[263] さ行 †
[264] 无音乐团
[265] 读音为Silent Voice。玛莉娜所在世界中与激斗偶像敌对的组织。主力战力是外形酷似真夏真香的M型仿生人，更进一步捕获激斗偶像后，成功解析利用SDDS、SDDD的机能。依靠SDDD收集能量反哺仿生人使其强化，目标是创造永无止境厮杀的世界。虽被激斗战士击溃，但玛莉娜所在世界并未公开战败消息。详情可查阅玛迪恩定制词条。
[266] 扎因
[267] “魔王散落世间的魔力与人类欲望结合，凝聚而成的人形恶魔。”
[268] 天使诈骗事件
[269] 在魔女视角中，神骑长期以来都像是迫害自身的人类帮凶，因此魔女都会躲藏起来避免被神骑发现。古时曾有长羽翼魔女伪装成天使，以恶魔创立的宗教神像为伪装，压榨信徒。讨伐恶魔的神骑将其逼至绝境，魔女引爆自身，连带信徒与城镇一同毁灭。这起事件让神骑彻底将魔女划定为高危存在，双方至今互相戒备，是二者矛盾的根源。
[270] 樱庄公寓
[271] 兰斯一行人混沌主宰成员，在洞穴据点之后的新落脚公寓。房东误将兰斯认成孙子俊文，十分喜爱他，兰斯也不反感，就此长期定居。俊文归来后，兰斯被改称作孝文，但依旧没有搬走的打算。
[272] 呐喊党
[273] 闪忍奇香所在世界等同于诺洛伊党的组织。奇香、月香击败了诺洛伊对应的化生怪物呐喊，其残党成为束缚篇炼狱的手下作乱。
[274] 差木地沙绫
[275] 玛莉娜世界里高圆寺沙由香的同位存在。无音乐团是沙绫为对抗足以毁灭所有世界的“真正之敌”，与玛迪恩联手创立的组织。SDDD黑匣子记录了她死后持续改造强化生化躯体、制造无音天使的过往。袭击玛莉娜世界的仿生人，实际是人类挪用机械帝国技术制造，却对外宣称是无音乐团所为，以此误导激斗偶像。
[276] 三铠
[277] 为守护将军诞生的三套铠甲，分别是祭铠、炼狱铠、斩鬼铠，属于束缚篇单位。三者目标是各自成长为世界最强，之后互相厮杀以突破极限。目前全部被莉莉阿姆封印。
[278] 桑塔族
[279] 来自异世界诺鲁温、来到本作世界的诺艾尔一族。身体能力远超人类，掌握融合枪械与格斗的桑塔战斗术桑卡塔。职责是守护人类远离灾厄，每年乘坐驯鹿雪橇，为乖孩子派送礼物。
[280] 圣安杰洛城
[281] 堕天同盟提鲁斯的浮空主城，现实中存在同名古罗马古城。
[282] 资金
[283] “游戏内各类操作通用货币，可通过副本、道具变卖等途径获取。”
[284] 四道城
[285] 四道封印者召唤而出的城池，外观内饰与诺洛伊居城相似。《超昂闪忍遥》中作为迷宫副本，本作中既是四道封印者的居所，也被用来突破空中战舰伊甸的防御屏障。
[286] 束缚甜心
[287] “仅活动副本中出现的特殊甜心，击败后掉落活动角色碎片、极限突破素材「盛放花蕾·束缚」。”每一期活动的束缚甜心都有专属独特造型，制作十分精致。
[288] 蛇咬
[289] 长翼蛇外形、拥有自主意识的忍具，镜花的千牙、奈莉卡的佩罗都属于此类。由火裔、火之一族打造。
[290] 朱卡
[291] “诺洛伊专属制造的杂兵，实力堪比闪忍，极度危险。如野兽般咆哮，依靠双臂利爪撕裂敌人。”初登场于《超昂闪忍遥》，原作中诺洛伊从发丝中诞生朱卡，令炎斋大为震惊。本作中由祈驱使，甚至诞生出能正常交流、心思细腻如同管家的朱卡。
[292] 祝福器
[293] 魔女的专属武器，也是释放能力的媒介。部分祝福器可加装改良型ADDD，解锁特殊变身形态。外形多样，既有优雅手中拐棍这类一眼就能认出的武器，也有卢卡的格拉乌科斯自立型装置、克拉莉丝的加拉泰亚拟生命体等。想要熟练操控祝福器，需要对应武器的修炼功底，比如剑型祝福器就要勤练剑术。
[294] 获得经验值
[295] “若玩家等级低于副本推荐难度，获取经验值会衰减。想要快速升级，推荐挑战与自身等级相近的副本。战斗失败、超时通关时，获得经验值减半。”
[296] 异常状态：眩晕
[297] “受到攻击后有概率陷入眩晕，眩晕期间无法行动，敌方攻击必定命中自身。”
[298] 异常状态：中毒
[299] “受到攻击后有概率中毒，中毒状态下体力消耗速度翻倍。”
[300] 异常状态：魅惑
[301] “受到攻击后有概率陷入魅惑，魅惑期间会攻击己方单位，且无法释放必杀技。”
[302] 商店
[303] “商店主要使用DMM点券购买蝶矿石。”详情查阅商店词条。
[304] 私立月想馆学园
